k,time,x,y,yaw
0,0.05796360969543457,39.1130561828613,3.15000152587891,3.141592652562305
1,0.10808062553405762,39.1130561828613,3.15000152587891,3.141592652563989
2,0.15785884857177734,39.1130561828613,3.15000152587891,3.141592652564624
3,0.20794272422790527,39.1086769104004,3.15000152587891,3.141592370221678
4,0.25781917572021484,39.1047172546387,3.15000152587891,3.14159223788803
5,0.30834436416625977,39.0810050964355,3.14999771118164,3.1415917128317212
6,0.3580174446105957,39.0606079101563,3.14999771118164,3.1415913777834623
7,0.4080805778503418,39.0280532836914,3.1500244140625,-3.141573137474574
8,0.45766329765319824,38.9972229003906,3.15003204345703,-3.141566217412517
9,0.5078346729278564,38.9417915344238,3.15003967285156,-3.141561630857782
10,0.5578608512878418,38.8852844238281,3.15004348754883,-3.141556394144227
11,0.6079304218292236,38.787166595459,3.15005111694336,-3.141547327067165
12,0.6577825546264648,38.7548370361328,3.15005493164063,-3.141544483655208
13,0.7077312469482422,38.6462059020996,3.15006256103516,-3.141535389432258
14,0.7582201957702637,38.5421981811523,3.15006637573242,-3.1415272316264367
15,0.8078663349151611,38.4009246826172,3.15007400512695,-3.1415168075174154
16,0.8583838939666748,38.349796295166,3.15007400512695,-3.141509599515192
17,0.9077787399291992,38.1547355651855,3.15008163452148,-3.1415006386505824
18,0.9586949348449707,37.9998931884766,3.15008544921875,-3.141491836405329
19,1.007911205291748,37.8319206237793,3.15008544921875,-3.1414815935440146
20,1.0579664707183838,37.6506805419922,3.15008544921875,-3.141476618240232
21,1.1077907085418701,37.4560623168945,3.15008544921875,-3.14146755903384
22,1.1583175659179688,37.2481536865234,3.15008163452148,-3.141460885318561
23,1.208003044128418,36.8904609680176,3.15007019042969,-3.141454622035212
24,1.2577722072601318,36.8904609680176,3.15007019042969,-3.141454022947587
25,1.307762861251831,36.556324005127,3.15005111694336,-3.141456350338198
26,1.3577864170074463,36.3082504272461,3.1500358581543,-3.1414634416626557
27,1.4078099727630615,35.948917388916,3.15000534057617,-3.141478465129764
28,1.4583768844604492,35.738338470459,3.14999389648438,-3.141478578961501
29,1.5080492496490479,35.738338470459,3.14999389648438,-3.1415100464622077
30,1.5578854084014893,35.2552871704102,3.14995193481445,-3.1415306453951577
31,1.6079375743865967,34.9259376525879,3.14994812011719,-3.141544303801752
32,1.657975435256958,34.7588348388672,3.14994430541992,-3.1415499337543418
33,1.7079460620880127,34.3666572570801,3.14994049072266,-3.141564035353414
34,1.7581629753112793,34.1961860656738,3.14993667602539,-3.1415721134293193
35,1.8078973293304443,33.7981758117676,3.14993667602539,-3.14158122552494
36,1.8578507900238037,33.6256637573242,3.14993667602539,-3.141589148990528
37,1.907949447631836,33.3389778137207,3.14993667602539,-3.1415915641293073
38,1.9578800201416016,32.9343566894531,3.14994049072266,3.1415896020250647
39,2.007927894592285,32.5871543884277,3.14994430541992,3.1415857339895163
40,2.0580132007598877,32.4711647033691,3.14994430541992,3.1415866477952563
41,2.10787034034729,32.1819496154785,3.14994812011719,3.141584323273532
42,2.1581501960754395,31.834379196167,3.14995002746582,3.1415828948266427
43,2.2078969478607178,31.5443000793457,3.14995193481445,3.141584045306915
44,2.2581822872161865,31.3124847412109,3.14995574951172,3.1415828297266124
45,2.3079826831817627,31.1964797973633,3.14995574951172,3.1415855410848774
46,2.358002185821533,30.7325801849365,3.14996147155762,3.1415854964346157
47,2.407930850982666,30.2701568603516,3.14996337890625,3.1415832928554015
48,2.4583070278167725,30.1548328399658,3.14996147155762,3.1415844110536715
49,2.5078587532043457,29.8676910400391,3.14996337890625,3.141584186560244
50,2.5580320358276367,29.4086475372314,3.14996528625488,3.1415820822032794
51,2.608109951019287,29.1795444488525,3.14996910095215,3.1415835411213244
52,2.6578049659729004,29.0069904327393,3.14996910095215,3.1415827481405523
53,2.707798719406128,28.6628494262695,3.14997482299805,3.1415857350224834
54,2.7582614421844482,28.3765392303467,3.14997863769531,3.141588539864029
55,2.80770206451416,28.0330543518066,3.14997863769531,3.1415857161358542
56,2.8578784465789795,27.861083984375,3.14997673034668,3.1415857161358542
57,2.9077858924865723,27.5761947631836,3.14998054504395,3.1415873097401152
58,2.9580841064453125,27.1195163726807,3.14998054504395,3.141585714016117
59,3.007996082305908,26.8916568756104,3.14998245239258,3.141586824874833
60,3.0583269596099854,26.7201118469238,3.14998245239258,3.14158552341224
61,3.1077306270599365,26.4358768463135,3.14998626708984,3.141586763550972
62,3.157885789871216,26.0940361022949,3.14998817443848,3.1415878841352143
63,3.2077879905700684,25.752986907959,3.14999008178711,3.141588706064209
64,3.2582452297210693,25.525785446167,3.14999008178711,3.1415903919094115
65,3.307799816131592,25.2412261962891,3.14999008178711,3.1415911814041135
66,3.3581175804138184,24.7877311706543,3.14998817443848,3.1415900497250164
67,3.407917022705078,24.6190338134766,3.14998626708984,3.141589029519941
68,3.45792818069458,24.3938827514648,3.14998435974121,3.141586272467433
69,3.5077998638153076,24.1694030761719,3.14998435974121,3.1415850199256905
70,3.55774188041687,23.8883762359619,3.14998817443848,3.141585108522916
71,3.6082143783569336,23.4964599609375,3.14999389648438,3.141587204399408
72,3.657835006713867,23.3275470733643,3.14999389648438,3.1415867829343425
73,3.707909107208252,23.0484104156494,3.14999389648438,3.1415866454580916
74,3.757981061935425,22.7130889892578,3.14999580383301,3.1415877605058617
75,3.807779312133789,22.2673740386963,3.14999771118164,3.1415886944593296
76,3.8579156398773193,22.2110252380371,3.14999771118164,3.141588223575174
77,3.907892942428589,21.9332027435303,3.14999961853027,3.141591145752727
78,3.9578769207000732,21.5990772247314,3.14999961853027,3.1415923432539503
79,4.008020877838135,21.2658596038818,3.14999961853027,3.1415922979210023
80,4.057728052139282,21.098690032959,3.14999771118164,3.141592582624627
81,4.107877254486084,20.7108554840088,3.14999961853027,-3.141589959455815
82,4.158044099807739,20.488956451416,3.14999961853027,-3.1415903984968665
83,4.20782732963562,20.2676181793213,3.14999580383301,-3.141591811278859
84,4.258118152618408,19.9905471801758,3.14999580383301,-3.1415909787621663
85,4.307886362075806,19.7148590087891,3.14999771118164,-3.141591307675166
