name,k,time,steps_recovery,attack_sz,x,y,yaw,Success
oprp_ol,732,36.6103196144104,82,0,3.05193996429443,47.1847152709961,-1.0822080369939857,1
oprp_ol,732,36.60803198814392,82,0,2.33692002296448,47.2601585388184,-1.258844861447452,1
oprp_ol,731,36.55925750732422,81,0,2.67858242988586,47.0895729064941,-1.1143387928628326,1
oprp_ol,732,36.611751556396484,82,0,2.83915138244629,47.2432861328125,-1.1137188803381453,1
oprp_ol,731,36.56119203567505,81,0,2.72331762313843,47.1601333618164,-1.1272858960897907,1
oprp_ol,731,36.559799671173096,81,0,2.63025856018066,47.3535995483398,-1.2525931947866726,1
oprp_ol,731,36.55836272239685,81,0,2.59711575508118,47.3370780944824,-1.2529986191122375,1
oprp_ol,732,36.60687232017517,82,0,2.65825247764587,47.2013664245605,-1.0720961115298697,1
oprp_ol,732,36.616201639175415,82,0,2.55757260322571,47.3079605102539,-1.2635444737051849,1
oprp_ol,731,36.561015367507935,81,0,2.34432148933411,47.2285041809082,-1.2069796082750346,1
oprp_cl,735,36.75675010681152,85,0,3.16029357910156,46.5651969909668,-1.0209251174034637,1
oprp_cl,734,36.70915603637695,84,0,2.90752077102661,46.7212753295898,-1.2216726396014368,1
oprp_cl,734,36.71644735336304,84,0,3.09340405464172,46.782543182373,-1.2899111741779146,1
oprp_cl,734,36.71793174743652,84,0,2.87996697425842,46.6460418701172,-1.176949087736762,1
oprp_cl,734,36.707385540008545,84,0,3.01331162452698,46.5980911254883,-1.1212545297130814,1
oprp_cl,733,36.65809655189514,83,0,2.70592570304871,46.829158782959,-1.138323791611503,1
oprp_cl,733,36.67152762413025,83,0,2.94027543067932,46.7817420959473,-1.2066396607452894,1
oprp_cl,734,36.709495306015015,84,0,3.14405155181885,46.822193145752,-1.0476385663228345,1
oprp_cl,734,36.71490454673767,84,0,2.86021208763123,46.8703880310059,-1.166368786050907,1
oprp_cl,735,36.76146078109741,85,0,3.20302963256836,46.4706611633301,-1.0556139240565654,1
lqr,751,37.560508012771606,101,0,6.92151355743408,44.9901885986328,-0.3707167257700063,0
lqr,751,37.765105962753296,101,0,7.04184532165527,43.752555847168,-0.41940495652006005,0
lqr,751,37.90935444831848,101,0,7.87534809112549,43.357982635498,-0.43411947952520896,0
lqr,751,37.993520975112915,101,0,7.81025266647339,43.4402885437012,-0.5061656930019688,0
lqr,751,37.81101155281067,101,0,7.68186187744141,43.9820137023926,-0.40154591234283615,0
lqr,751,37.87761831283569,101,0,7.51376056671143,43.568302154541,-0.4405660864778393,0
lqr,751,37.972355365753174,101,0,7.71021747589111,43.1248741149902,-0.46006421858088764,0
lqr,751,38.72453212738037,101,0,10.9318027496338,44.2353744506836,-0.4792308464371988,0
lqr,751,37.74615454673767,101,0,7.20770835876465,44.2534103393555,-0.4073584337979592,0
lqr,751,38.27220964431763,101,0,8.88402462005615,44.3945732116699,-0.4637899084555464,0
vsr,759,37.96274375915527,109,0,10.3659906387329,45.9538726806641,-0.1772431465994711,1
vsr,759,37.963462352752686,109,0,10.4430980682373,45.8803863525391,-0.18282957988515255,0
vsr,759,37.95991587638855,109,0,10.2413673400879,45.8293266296387,-0.18631979064260212,0
vsr,759,37.959657192230225,109,0,10.3205995559692,45.7915382385254,-0.18453102992819886,0
vsr,761,38.06610465049744,111,0,10.8910226821899,45.7131118774414,-0.1794454261194834,0
vsr,761,38.060036420822144,111,0,10.8553552627563,45.7277374267578,-0.1859543338178741,0
vsr,759,37.959532737731934,109,0,10.3787050247192,46.0233459472656,-0.17528471176597968,1
vsr,759,37.95939540863037,109,0,10.0319519042969,45.7414436340332,-0.1891380471929917,0
vsr,759,37.96075773239136,109,0,9.89663314819336,45.8423728942871,-0.18974643242848954,0
vsr,760,38.009655237197876,110,0,10.3858976364136,45.7121887207031,-0.18373960340768344,0
