k,time,x,y,yaw
0,0.06074976921081543,39.1130561828613,3.15000152587891,3.141592652538965
1,0.11097121238708496,39.1130561828613,3.15000152587891,3.141592652540456
2,0.1612563133239746,39.1130561828613,3.15000152587891,3.1415924916468168
3,0.21067285537719727,39.1086769104004,3.15000152587891,3.141592167823788
4,0.26018500328063965,39.0964202880859,3.15000152587891,3.1415917916553986
5,0.31025099754333496,39.0810050964355,3.14999771118164,3.1415916285247065
6,0.3603353500366211,39.0810050964355,3.14999771118164,-3.141573140875723
7,0.41048645973205566,38.9972229003906,3.15003204345703,-3.1415645464592252
8,0.4601576328277588,38.9313087463379,3.15003967285156,-3.1415607782263257
9,0.5101945400238037,38.8852882385254,3.15004348754883,-3.1415527753415873
10,0.5601856708526611,38.7712440490723,3.15005111694336,-3.141545977367214
11,0.6107616424560547,38.7379493713379,3.15005493164063,-3.14154312016292
12,0.660529375076294,38.6655387878418,3.15005874633789,-3.1415324339452857
13,0.7100346088409424,38.5639953613281,3.15006637573242,-3.141522362984094
14,0.7600455284118652,38.3498001098633,3.15007400512695,-3.141513696865498
15,0.8105854988098145,38.2966346740723,3.15007781982422,-3.1415085244599887
16,0.860278844833374,38.1547393798828,3.15008163452148,-3.141501668025163
17,0.9104416370391846,37.9342880249023,3.15008544921875,-3.1414897310642047
18,0.9601516723632812,37.8665733337402,3.15008544921875,-3.141477967133046
19,1.010265827178955,37.6506843566895,3.15008544921875,-3.1414747888057146
20,1.0601789951324463,37.4560661315918,3.15008544921875,-3.1414689493667525
21,1.1100144386291504,37.2481994628906,3.15008163452148,-3.1414593507946273
22,1.160146951675415,37.1176376342773,3.15008163452148,-3.1414593507946273
23,1.210433006286621,36.7982749938965,3.15006637573242,-3.141457580964299
24,1.2601420879364014,36.5589256286621,3.15005111694336,-3.1414600448012733
25,1.3100225925445557,36.3112869262695,3.1500358581543,-3.1414710087791877
26,1.360130786895752,36.0049934387207,3.15001678466797,-3.1414864036938925
27,1.410203218460083,36.0049934387207,3.15001678466797,-3.1414950256765155
28,1.4601900577545166,35.6373023986816,3.14999771118164,-3.1414926454118404
29,1.5101377964019775,35.2621841430664,3.14998245239258,-3.1415263912925124
30,1.5600759983062744,35.0441513061523,3.14995956420898,-3.141557328898494
31,1.6101810932159424,34.7681846618652,3.14994049072266,-3.1415599380599044
32,1.660201072692871,34.3782691955566,3.14993286132813,-3.1415796901609947
33,1.7101716995239258,34.1529502868652,3.14993286132813,-3.141592529505812
34,1.7600665092468262,33.6993408203125,3.14994049072266,3.141585326530164
