k,time,x,y,yaw
0,0.0589604377746582,39.1130561828613,3.15000152587891,3.141592652546364
1,0.1089932918548584,39.1130561828613,3.15000152587891,3.1415926525443894
2,0.15938711166381836,39.1128158569336,3.15000152587891,3.1415923043238374
3,0.20956659317016602,39.1047172546387,3.15000152587891,3.1415922368790867
4,0.2594130039215088,39.0810050964355,3.14999771118164,3.141591629396957
5,0.3093094825744629,39.0661697387695,3.14999771118164,3.141590315402457
6,0.35918283462524414,39.0280532836914,3.1500244140625,-3.141570423574246
7,0.40915727615356445,38.9518966674805,3.15003967285156,-3.1415625159369824
8,0.4590451717376709,38.9313087463379,3.15003967285156,-3.14155866534728
9,0.5091409683227539,38.8974342346191,3.15004348754883,-3.141554169352921
10,0.5591068267822266,38.8026084899902,3.15005111694336,-3.1415489973947426
11,0.6088895797729492,38.720573425293,3.15005493164063,-3.1415373284398664
12,0.6590590476989746,38.6060829162598,3.15006256103516,-3.1415325391971045
13,0.7092022895812988,38.4971160888672,3.15007019042969,-3.141524418946259
14,0.758906364440918,38.4009246826172,3.15007400512695,-3.141514196134345
15,0.8088383674621582,38.3234672546387,3.15007781982422,-3.1415037592000705
16,0.8590712547302246,38.094367980957,3.15008163452148,-3.1414985917316134
17,0.9090709686279297,37.9673500061035,3.15008544921875,-3.141490321276267
18,0.9592742919921875,37.7967414855957,3.15008544921875,-3.1414823446837197
19,1.0088832378387451,37.6879997253418,3.15008544921875,-3.141471855428326
20,1.0590660572052002,37.3746185302734,3.15008544921875,-3.1414675089381827
21,1.1090166568756104,37.1623878479004,3.15008163452148,-3.1414622586131817
22,1.158935308456421,36.9846229553223,3.15007400512695,-3.141460033182855
23,1.2095632553100586,36.8472671508789,3.15007019042969,-3.141460033182855
24,1.2589585781097412,36.4662208557129,3.15004730224609,-3.141466873022433
25,1.3090167045593262,36.2182006835938,3.15002822875977,-3.141474659159388
26,1.3589110374450684,36.0151214599609,3.15001678466797,-3.141485255173025
27,1.4088761806488037,35.8602867126465,3.15000152587891,-3.1415004555059522
28,1.458989143371582,35.4400329589844,3.14997863769531,-3.1415085029707925
29,1.5089681148529053,35.172607421875,3.14996719360352,-3.1415165193793224
30,1.5589442253112793,35.0095901489258,3.14995956420898,-3.14153506953532
31,1.609130620956421,34.7914161682129,3.14994812011719,-3.14153506953532
32,1.6591830253601074,34.516544342041,3.14994049072266,-3.1415536210740336
33,1.70906400680542,34.238151550293,3.14992904663086,-3.141563982542909
34,1.7589564323425293,33.846752166748,3.14992141723633,-3.1415822187605005
35,1.8089923858642578,33.6769485473633,3.14991760253906,-3.141582453411062
36,1.8589980602264404,33.3373985290527,3.14991760253906,3.1415897877563146
37,1.9091627597808838,32.9960746765137,3.14992141723633,3.1415835891076376
38,1.9590415954589844,32.6540679931641,3.14992523193359,3.14158001874349
39,2.0088701248168945,32.2553367614746,3.14993286132813,3.1415765578863635
40,2.0589659214019775,32.1976318359375,3.14992904663086,3.14157559485798
41,2.1090593338012695,32.027099609375,3.14993667602539,3.1415759189691017
42,2.1589322090148926,31.6841487884521,3.14994239807129,3.141577783792818
43,2.2088847160339355,31.3976039886475,3.14994621276855,3.141582266870456
44,2.258969783782959,31.1118583679199,3.14995574951172,3.1415833118805905
45,2.3091390132904053,30.8243885040283,3.14995765686035,3.1415860532498785
46,2.359057664871216,30.4804248809814,3.14996147155762,3.141587348216507
47,2.4090001583099365,29.9654312133789,3.14996719360352,3.141586573403596
48,2.459083318710327,29.8511371612549,3.14996528625488,3.1415838537837293
49,2.509028434753418,29.6792449951172,3.14996337890625,3.1415850058004224
50,2.5588443279266357,29.3943576812744,3.14996910095215,3.1415838908713205
51,2.609055519104004,29.1080417633057,3.14996910095215,3.141584774597287
52,2.6591603755950928,28.7659587860107,3.14997100830078,3.14158369625378
53,2.708847761154175,28.3106899261475,3.14997291564941,3.141582766766961
54,2.7593302726745605,28.2545852661133,3.14997482299805,3.141581061630335
55,2.8091304302215576,27.9706764221191,3.14997291564941,3.141581061630335
56,2.859128713607788,27.5759601593018,3.14997673034668,3.1415815739336215
57,2.908874750137329,27.4059391021729,3.14997863769531,3.1415823701270043
58,2.958951950073242,27.1248455047607,3.14998054504395,3.141582203563234
59,3.008870840072632,26.8425483703613,3.14998435974121,3.141584252738978
60,3.0589945316314697,26.5052471160889,3.14998626708984,3.141584406179386
61,3.1091713905334473,26.168176651001,3.14998817443848,3.141584955562112
62,3.159111976623535,26.0560455322266,3.14998817443848,3.14158571844832
