k,time,x,y,yaw
0,0.05845212936401367,39.1130561828613,3.15000152587891,3.141592652513699
1,0.10783219337463379,39.1122550964355,3.15000152587891,3.141592549618005
2,0.15821170806884766,39.1113777160645,3.15000152587891,3.141592549618005
3,0.20778536796569824,39.0930366516113,3.14999771118164,3.1415919458542887
4,0.2582876682281494,39.0714263916016,3.14999771118164,3.1415915419422085
5,0.3078882694244385,39.0606079101563,3.14999771118164,3.141590303507275
6,0.3579835891723633,39.0280532836914,3.1500244140625,-3.1415731505258426
7,0.407928466796875,38.9800872802734,3.1500358581543,-3.1415631751613193
8,0.45789670944213867,38.9518966674805,3.1500358581543,-3.1415576646197465
9,0.508094310760498,38.8852882385254,3.15004348754883,-3.1415565661126195
10,0.5578255653381348,38.7871704101563,3.15005111694336,-3.1415463785830338
11,0.6077325344085693,38.6843681335449,3.15005874633789,-3.141538936487536
12,0.6578092575073242,38.5852928161621,3.15006256103516,-3.141531010578017
13,0.707953929901123,38.5199089050293,3.15006637573242,-3.1415243896927354
14,0.7582292556762695,38.4257354736328,3.15007019042969,-3.1415192809158587
15,0.8079893589019775,38.2966346740723,3.15007781982422,-3.1415052887604427
16,0.8577158451080322,38.0319061279297,3.15008544921875,-3.14149451764927
17,0.9081084728240967,37.9673538208008,3.15008544921875,-3.141486148025738
18,0.9579505920410156,37.8665733337402,3.15008544921875,-3.141484594075945
19,1.0078577995300293,37.6128349304199,3.15008544921875,-3.141472896076906
20,1.057912826538086,37.3329124450684,3.15008544921875,-3.141465903168537
21,1.1081271171569824,37.1621055603027,3.15008163452148,-3.141461663271608
22,1.158017635345459,36.9843254089355,3.15007400512695,-3.141459540883265
23,1.2078733444213867,36.6589965820313,3.15005874633789,-3.1414618120743296
24,1.2582042217254639,36.4659271240234,3.15004348754883,-3.1414662310510484
25,1.307746171951294,36.1175346374512,3.15002059936523,-3.1414786928722327
26,1.357790470123291,36.1175346374512,3.15002059936523,-3.1414810960824715
27,1.4078261852264404,35.6530265808105,3.14998626708984,-3.141503960235822
28,1.4577109813690186,35.441780090332,3.14998245239258,-3.141507167111553
29,1.5077812671661377,35.1203498840332,3.14995193481445,-3.1415378971930497
30,1.5578327178955078,35.0121955871582,3.14994812011719,-3.1415540143766463
31,1.607896327972412,35.0121955871582,3.14994812011719,-3.141562527690747
32,1.6580383777618408,34.5212059020996,3.14994430541992,-3.1415708330712753
33,1.707801342010498,34.0783042907715,3.14994049072266,-3.141580192137827
