k,time,x,y,yaw
0,0.06604290008544922,39.1130561828613,3.15000152587891,3.1415926526062132
1,0.11926889419555664,39.1130561828613,3.15000152587891,3.1415926526079634
2,0.16915035247802734,39.1068534851074,3.15000152587891,3.141592238290372
3,0.2155611515045166,39.1068534851074,3.15000152587891,3.1415920976121527
4,0.26607608795166016,39.0853271484375,3.14999771118164,3.141591548560998
5,0.31765222549438477,39.0547332763672,3.14999771118164,3.1415768438230263
6,0.36759066581726074,39.0207405090332,3.15002822875977,-3.1415680400852
7,0.41646647453308105,38.9888114929199,3.15003204345703,-3.141567086127782
8,0.4667394161224365,38.9417953491211,3.15003967285156,-3.1415606739322945
9,0.5171172618865967,38.9417953491211,3.15003967285156,-3.1415477021540243
10,0.5667760372161865,38.8596267700195,3.15004730224609,-3.1415393239276126
11,0.6172032356262207,38.7205772399902,3.15005493164063,-3.1415350458239146
12,0.6673848628997803,38.6655387878418,3.15005874633789,-3.1415306628452533
13,0.7167885303497314,38.5639953613281,3.15006256103516,-3.1415183310927794
14,0.766930341720581,38.4500312805176,3.15006637573242,-3.1415100621905694
15,0.8171658515930176,38.3234710693359,3.15007019042969,-3.1415016566457417
16,0.8658363819122314,38.0634002685547,3.15007781982422,-3.141491907313175
17,0.9160182476043701,37.9998970031738,3.15007781982422,-3.1414870232616767
18,0.9660866260528564,37.8665733337402,3.15008163452148,-3.141475186513046
19,1.0196492671966553,37.6880035400391,3.15007781982422,-3.1414711133356077
20,1.0679278373718262,37.4960556030273,3.15007781982422,-3.1414671356288952
21,1.1178464889526367,37.2048873901367,3.15007400512695,-3.141459537027157
22,1.1666927337646484,37.1612091064453,3.15007400512695,-3.1414540523570698
23,1.216446876525879,36.8432426452637,3.15006256103516,-3.141455746782889
24,1.267416000366211,36.5561065673828,3.15004348754883,-3.141457472582757
25,1.31900954246521,36.206127166748,3.15002059936523,-3.1414676074205237
26,1.3683407306671143,36.206127166748,3.15002059936523,-3.1414771819135305
27,1.4189226627349854,35.6316375732422,3.15000152587891,-3.1414785477579557
