name,k,time,steps_recovery,attack_sz,Ca,T,Success
oprp_ol,109,10.9,4,0,0.903497627894766,301.74588050092837,1
oprp_cl,109,10.9,4,0,0.9034796720546224,301.9693589259685,1
lqr,113,11.3,8,0,0.9096227559977046,305.74359471687865,1
vsr,115,11.5,10,0,0.9167766991512966,306.77165457529617,0
oprp_ol,109,10.9,4,0,0.9191179678913712,303.046631409166,1
oprp_cl,108,10.8,3,0,0.8975697562478118,303.96869344637406,1
lqr,118,11.8,13,0,0.8805459235601253,305.1226067074811,1
vsr,115,11.5,10,0,0.8662425321035045,308.56414816877435,0
oprp_ol,108,10.8,3,0,0.948043980427255,302.16167108434564,1
oprp_cl,108,10.8,3,0,0.9480135906688545,302.42980401522664,1
lqr,122,12.200000000000001,17,0,0.9729090200897316,304.75987808525474,1
vsr,115,11.5,10,0,0.9383952821813268,307.68998924734075,0
oprp_ol,109,10.9,4,0,0.900217418299596,301.1041999487307,1
oprp_cl,108,10.8,3,0,0.8908253776011128,302.4459477216456,1
lqr,118,11.8,13,0,0.9365580107181484,306.238261784072,0
vsr,115,11.5,10,0,0.9086163537574146,307.90989144803126,0
oprp_ol,109,10.9,4,0,0.9444596332221087,299.1721893226833,1
oprp_cl,108,10.8,3,0,0.943875278635556,301.05301376166665,1
lqr,115,11.5,10,0,0.9744623305735006,303.9044298410933,1
vsr,115,11.5,10,0,0.961469854185482,305.95211992982047,1
oprp_ol,109,10.9,4,0,0.9502095646357308,302.305623060283,1
oprp_cl,108,10.8,3,0,0.9420913101735955,302.63396409253426,1
lqr,116,11.600000000000001,11,0,0.9606317694570038,306.27751768545687,0
vsr,115,11.5,10,0,0.9439012851544858,308.68892204235095,0
oprp_ol,109,10.9,4,0,0.9418964687021483,301.8001448371703,1
oprp_cl,109,10.9,4,0,0.9418867808487011,301.915821837316,1
lqr,113,11.3,8,0,0.9730027378245235,307.0471821987633,0
vsr,115,11.5,10,0,0.9471152319813141,309.4509194876929,0
oprp_ol,109,10.9,4,0,0.9240030923896906,300.2729414763892,1
oprp_cl,109,10.9,4,0,0.9239914631427845,300.43244257105175,1
lqr,114,11.4,9,0,0.9264586476856456,306.8984357381742,0
vsr,115,11.5,10,0,0.9312929557252108,308.3579212200312,0
oprp_ol,109,10.9,4,0,0.9161245911030921,301.8263269995553,1
oprp_cl,109,10.9,4,0,0.9160943388874863,302.1804904723858,1
lqr,112,11.200000000000001,7,0,0.9342349114910983,306.6028791341432,0
vsr,115,11.5,10,0,0.923393045636896,309.45870169204613,0
oprp_ol,109,10.9,4,0,0.9557649100354854,301.3595928277751,1
oprp_cl,109,10.9,4,0,0.9557797615747801,301.17598796706073,1
lqr,111,11.100000000000001,6,0,0.9602130686637557,306.74746125825095,0
vsr,115,11.5,10,0,0.959573753821987,309.7552213109016,0
oprp_ol,109,10.9,4,0,0.9391667445007688,300.0896705364753,1
oprp_cl,108,10.8,3,0,0.9363765216001347,301.38416478059423,1
lqr,113,11.3,8,0,0.9607771137686006,304.41700931280536,1
vsr,115,11.5,10,0,0.9645488768017864,306.8874509942097,0
oprp_ol,109,10.9,4,0,0.9253645478705109,303.31555585727943,1
oprp_cl,109,10.9,4,0,0.9253559797577966,303.41330243590255,1
lqr,116,11.600000000000001,11,0,0.9138189294017205,306.2667048904743,0
vsr,115,11.5,10,0,0.9155603116230127,308.7749338707767,0
oprp_ol,109,10.9,4,0,0.9198969922524515,300.00842059941834,1
oprp_cl,109,10.9,4,0,0.9198855640914941,300.17173004274326,1
lqr,111,11.100000000000001,6,0,0.9189245067614296,304.2739607616354,1
vsr,115,11.5,10,0,0.9401617264563201,305.83151369748145,1
oprp_ol,109,10.9,4,0,0.9913165358951749,302.34964346849154,1
oprp_cl,109,10.9,4,0,0.9912931360684103,302.59069684324663,1
lqr,112,11.200000000000001,7,0,0.9932654322557568,306.09492240472275,0
vsr,115,11.5,10,0,0.9635447221812724,308.5436821141522,0
oprp_ol,109,10.9,4,0,0.928993587692579,302.88768292022536,1
oprp_cl,109,10.9,4,0,0.9289659036090419,303.1797522275293,1
lqr,115,11.5,10,0,0.8977677989894127,305.72959688909265,1
vsr,115,11.5,10,0,0.8792764110669316,307.68370765951965,0
oprp_ol,109,10.9,4,0,0.9232414538009491,302.7291884907048,1
oprp_cl,108,10.8,3,0,0.9365104297917135,303.9533519920812,1
lqr,116,11.600000000000001,11,0,0.9289075692860213,305.7639619858905,1
vsr,115,11.5,10,0,0.9239634438049851,308.39711192403263,0
oprp_ol,109,10.9,4,0,0.9455361315000346,302.0885620088291,1
oprp_cl,109,10.9,4,0,0.9455114210867798,302.3664537668065,1
lqr,114,11.4,9,0,0.9496151894860415,306.9510641957843,0
vsr,115,11.5,10,0,0.9424566887786695,309.32894119014975,0
oprp_ol,109,10.9,4,0,0.9359058175611499,301.06095467861593,1
oprp_cl,109,10.9,4,0,0.9358564578167268,301.6614475259207,1
lqr,113,11.3,8,0,0.945583279127738,306.48767165485094,0
vsr,115,11.5,10,0,0.9312668912184338,307.29032076474675,0
oprp_ol,108,10.8,3,0,0.9528650957863741,301.8250234164198,1
oprp_cl,108,10.8,3,0,0.9528140686294622,302.32313521036934,1
lqr,117,11.700000000000001,12,0,0.9475345080908747,304.32771061501796,1
vsr,115,11.5,10,0,0.9268772193210641,306.9490962929289,0
oprp_ol,109,10.9,4,0,0.9510233301361676,303.419580940776,1
oprp_cl,108,10.8,3,0,0.942523425311407,303.269985320524,1
lqr,121,12.100000000000001,16,0,0.9388087141704184,305.6251927448927,1
vsr,115,11.5,10,0,0.9327857818219,307.28673006862965,0
oprp_ol,109,10.9,4,0,0.936943379857355,302.6212482309913,1
oprp_cl,109,10.9,4,0,0.9369255559534709,302.8413506062933,1
lqr,114,11.4,9,0,0.9636539287095395,306.6903607799249,0
vsr,115,11.5,10,0,0.9664348209229866,307.9617357939745,0
oprp_ol,109,10.9,4,0,0.9688618995855122,301.13572540138586,1
oprp_cl,108,10.8,3,0,0.9503413107179619,301.4344108961101,1
lqr,114,11.4,9,0,0.9940602834211364,304.4572641654356,1
vsr,115,11.5,10,0,0.9756007555455805,306.4089442583186,0
oprp_ol,109,10.9,4,0,0.9062946600564418,302.9880617124086,1
oprp_cl,109,10.9,4,0,0.9062911712596883,303.0297349332141,1
lqr,113,11.3,8,0,0.9360477008186188,305.07943275768145,1
vsr,115,11.5,10,0,0.9229226485687072,308.32516608397685,0
oprp_ol,109,10.9,4,0,0.9485113450669288,301.81869472110634,1
oprp_cl,109,10.9,4,0,0.9485101462427017,301.83189375086266,1
lqr,112,11.200000000000001,7,0,0.9655133336357764,305.5858935361417,1
vsr,115,11.5,10,0,0.9533567063078713,307.98735937319094,0
oprp_ol,109,10.9,4,0,0.924005479881331,301.1757031246727,1
oprp_cl,109,10.9,4,0,0.9239846473994481,301.43359447872007,1
lqr,110,11.0,5,0,0.9263621823483884,305.52860286926824,1
vsr,115,11.5,10,0,0.9469964670377774,307.16340395262273,0
oprp_ol,109,10.9,4,0,0.9164852273660196,302.47131034451485,1
oprp_cl,109,10.9,4,0,0.9164781640490588,302.55145956839846,1
lqr,113,11.3,8,0,0.9393519019827743,307.3623239171548,0
vsr,115,11.5,10,0,0.9221641941837161,309.1425110353174,0
oprp_ol,109,10.9,4,0,0.9173823182302436,300.58560210193986,1
oprp_cl,109,10.9,4,0,0.9173746015167409,300.69030343161495,1
lqr,112,11.200000000000001,7,0,0.9108404627470263,305.32321921585196,1
vsr,115,11.5,10,0,0.9025720475233874,307.23961066901694,0
oprp_ol,109,10.9,4,0,0.9217501663058064,301.16361581933415,1
oprp_cl,109,10.9,4,0,0.9217506627817401,301.157409922633,1
lqr,112,11.200000000000001,7,0,0.9502410179212335,306.0166242017667,0
vsr,115,11.5,10,0,0.9262220525613626,307.57917554069957,0
