k,time,Ca,T
0,0.0,0.98,280.0
1,0.1,0.9636792278927072,287.52530950707313
2,0.2,0.9647860465502214,291.778215735141
3,0.30000000000000004,0.9829316797445399,295.2507808688069
4,0.4,0.983399497952754,298.30502323284895
5,0.5,0.9646091839057404,300.91586384321295
6,0.6000000000000001,0.9792587789909691,301.8834616239906
7,0.7000000000000001,0.9745452141935537,301.9731037801241
8,0.8,0.9727942782562672,302.29591802544536
9,0.9,0.9674141714893125,303.32236508659685
10,1.0,0.9598885533006924,303.29731456975026
11,1.1,0.9575512265921827,303.41656984582033
12,1.2000000000000002,0.956088669700829,303.12872943960133
13,1.3,0.9641150170704529,302.39164844478023
14,1.4000000000000001,0.962943841987339,303.7589320564586
15,1.5,0.9648041549177077,302.9692289770767
16,1.6,0.9620333936086882,303.0084542935983
17,1.7000000000000002,0.9589325055080323,302.73016881658003
18,1.8,0.966466058206848,301.79643550303547
19,1.9000000000000001,0.9736147797543817,300.9885003522565
20,2.0,0.9721215852838927,301.378177921884
21,2.1,0.958239072517356,301.0163481457984
22,2.2,0.9522841089293321,301.063092046605
23,2.3000000000000003,0.9565649213430026,301.0089202643888
24,2.4000000000000004,0.9699907610548978,301.2004158555085
25,2.5,0.9738855613405277,300.22117149403664
26,2.6,0.9844042762949122,299.5853700651216
27,2.7,0.9984350539902576,299.25471058293465
28,2.8000000000000003,0.9985178753619387,300.1903885367162
29,2.9000000000000004,1.000069751896942,299.61386599901226
30,3.0,1.0008052348219396,300.63978956134974
31,3.1,1.0020718599769511,300.8239209023172
32,3.2,0.9986390257239521,299.7129134650968
33,3.3000000000000003,0.9996518326684452,299.5698052328546
34,3.4000000000000004,0.9973834221033252,299.72365495290455
35,3.5,1.0035307830526738,299.6869031850776
36,3.6,1.0076185900510999,299.08311449423155
37,3.7,1.0227333980256772,299.35295520290026
38,3.8000000000000003,1.0272537575453136,300.3104875753546
39,3.9000000000000004,1.0307708968857323,300.6016729324351
40,4.0,1.0098602746167384,300.6638824385768
41,4.1000000000000005,1.008714897236222,300.22915939463843
42,4.2,0.9812717074188222,300.4314446171515
43,4.3,0.9713816902633706,300.163886390824
44,4.4,0.96374322555372,300.19262563864567
45,4.5,0.9529002664283291,300.15926447837484
46,4.6000000000000005,0.9443658332281312,300.2032065408013
47,4.7,0.9528871715695822,301.1101263230026
48,4.800000000000001,0.94629570736842,300.8212064680603
49,4.9,0.9508409377436938,300.6299878039541
50,5.0,0.9514063620205846,300.3197821298997
51,5.1000000000000005,0.9429435406496327,300.8675554833184
52,5.2,0.9600170453572744,300.23083033822644
53,5.300000000000001,0.9647070481272932,300.2807717782232
54,5.4,0.9497299532431587,300.8402775809864
55,5.5,0.9596127758662238,300.18746940338906
56,5.6000000000000005,0.9461460282045455,299.75960791080036
57,5.7,0.9598045178417142,300.28614580569536
58,5.800000000000001,0.9500413003314342,301.1312308596072
59,5.9,0.9450524158641862,300.1599337258806
60,6.0,0.9418249169565048,299.2913881179412
61,6.1000000000000005,0.9569516943944167,299.55376623426116
62,6.2,0.954090670185697,300.2501048394977
63,6.300000000000001,0.9642013889691826,299.6590446461231
64,6.4,0.9815806862344956,299.19377937693145
65,6.5,0.9761708343094632,299.4807169550167
66,6.6000000000000005,0.9845546042385332,299.3655445562028
67,6.7,0.980115919708356,299.38791279935015
68,6.800000000000001,0.9980788085309961,299.54696481088166
69,6.9,0.9988478968710828,299.90789757742056
70,7.0,0.9983181965466126,300.3520539985342
71,7.1000000000000005,1.0087512232801785,301.04329372019885
72,7.2,1.0212215042040045,300.48688441860554
73,7.300000000000001,1.0302805493285332,300.64622108271175
74,7.4,1.021161253033056,301.17743290591625
75,7.5,1.003584410052138,300.29368871712296
76,7.6000000000000005,0.9897623848170783,300.2093531359122
77,7.7,0.9834029713242622,300.6551021709234
78,7.800000000000001,0.9819881100508971,299.69541342382314
79,7.9,0.9756281054167408,299.46319903631326
80,8.0,0.9980937890738157,299.7891905277908
81,8.1,1.0004437791257377,299.232693119922
82,8.200000000000001,0.9829731333820675,299.99103098196497
83,8.3,0.9901473710686781,299.914600078518
84,8.4,0.9749075490360958,299.116987527278
85,8.5,0.9725011452150556,299.2645663472605
86,8.6,0.9971791857952205,300.3185031308061
87,8.700000000000001,0.9903930784979644,300.61634070225347
88,8.8,0.9851635337436565,301.05716806725763
89,8.9,0.9904433767362398,300.55785942278163
90,9.0,0.9952420270908967,300.0705388769799
91,9.1,0.9764121273197771,300.39974632701654
92,9.200000000000001,0.9914639780751114,305.9201988297632
93,9.3,0.9883474059780097,307.9161858487564
94,9.4,0.9908223614308337,310.3589047583173
95,9.5,0.9779571840893102,313.00991332703603
96,9.600000000000001,0.9703571648383776,314.84865530998263
97,9.700000000000001,0.9743331266913619,316.3795721631897
98,9.8,0.9760833584674207,317.4843990930419
99,9.9,0.9737551085537967,318.9005428192555
100,10.0,0.9582041104857475,320.5745703524102
101,10.100000000000001,0.9456297072264561,322.20962030495696
102,10.200000000000001,0.9327865901003736,322.7151843901063
103,10.3,0.9457854255251079,323.55021772861164
